germplasmName	CROP	CROSS/ENTRY	PLT_SOURCE	SELECTION_HISTORY	SN	Sample BC
X00194dbececa	Durum wheat	GRS011-0240	21140306	GRS011-0240 1T-2A-0A-2M-2M	2100980	GWP2100980
X0024b87123a1	Durum wheat	GRS011-0240	21140306	GRS011-0240 1T-2A-0A-2M-1M	2100979	GWP2100979
X008a9d3b37ef	Durum wheat	MMVT21-06	Repl-79	Boniduro	2101875	GWP2101875
X00a9ca1f2f7c	Bread wheat	GRSW170041	21120065	GRSW170041-M0-M0-M3-M1	2100307	GWP2100307
X01072efbdd55	Durum wheat	GRS011-0276	21260404	GRS011-0276-1M-1SEA	2101741	GWP2101741
X010f2f358855	Durum wheat	GRS011-0146	21140144	GRS011-0146 1T-2A-0A-2M-1M	2100742	GWP2100742
X013f192a236c	Durum wheat	GRS011-458	21260563	GRS011-458-2M-1SEA	2101825	GWP2101825
X015e837ea24a	Durum wheat	GRS011-0150	21140150	GRS011-0150 1T-2A-0A-2M-2M	2100759	GWP2100759
X01aa0602623d	Durum wheat	GRS011-0253	21140332	GRS011-0253-3M-1M	2101018	GWP2101018
X01bf0a1184c3	Durum wheat	GRS011-034	21140047	GRS011-034 1T-1A-0A-2M-3M	2100653	GWP2100653
X01e228c75b83	Durum wheat	GRS011-0272	21140545	GRS011-0272 1T-2A-0A-1M-2M	2101324	GWP2101324
X01eb66bdddbc	Durum wheat	GRS011-0240	21140307	GRS011-0240 1T-2A-0A-3M-2M	2100982	GWP2100982
X024a9e98bb20	Durum wheat	GRSW170019	21120052	GRSW170019-M0-M0-M3-M6	2100283	GWP2100283
X02bb00848d7d	Durum wheat	GRS011-0190	21140227	GRS011-0190 1T-3A-0A-4M-2M	2100860	GWP2100860
X02f738a6276a	Bread wheat	GRSW170054	Repl-20	GRS18-7001-9SB-M1-AN1	2100356	GWP2100356
X034f3505f552	Bread wheat	TCI19-7003	2111010	TCI19-7003-M1-M10	2100092	GWP2100092
X0362a8fca615	Durum wheat	GRS011-0258	21140365	GRS011-0258 1T-2A-0A-2M-1M	2101075	GWP2101075
X0396a3f1a71e	Durum wheat	GRS011-0253	21140330	GRS011-0253-1M-3M	2101014	GWP2101014
X03eaf7da3eb3	Durum wheat	GRSW170021	21120053	GRSW170021-M0-M0-M1-M2	2100287	GWP2100287
X044c6bc53cc4	Durum wheat	GRS011-0250	21140321	GRS011-0250 1T-1A-0A-1M-3M	2100989	GWP2100989
X0462428852fc	Bread wheat	TCI19-7006	2111019	TCI19-7006-M1-M6	2100145	GWP2100145
X04f94d5f7feb	Durum wheat	GRS011-0257	21140355	GRS011-0257 1T-2A-0A-1M-1M	2101058	GWP2101058
X050136f929a7	Durum wheat	GRS011-0253	21140330	GRS011-0253-1M-1M	2101012	GWP2101012
X05088993c1cd	Bread wheat	GRSW170056	21120097	GRSW170056-M0-M0-M2-M1	2100391	GWP2100391
X05240c34f71d	Bread wheat	-	2113031	1504023-M0-1603069-M3-18070104-M0-20130018-M1-M3	2100583	GWP2100583
X0525c7577185	Bread wheat	TCI19-7002	2111006	TCI19-7002-M3-M4	2100040	GWP2100040
X055dc56c6483	Durum wheat	GRS011-0216	21140519	GRS011-0216-1M-1M	2101280	GWP2101280
X0569aa5e1f32	Durum wheat	GRSW170019	21120051	GRSW170019-M0-M0-M2-M5	2100275	GWP2100275
X057184f4183a	Bread wheat	GRS18-7001	21120015	GRS18-7001-5SB-M3-M2	2100203	GWP2100203
X057b969771e2	Durum wheat	GRS011-0256	21140350	GRS011-0256-1M-1M	2101050	GWP2101050
X058212aef363	Durum wheat	GRS011-0209	21260274	GRS011-0209 1T-2A-0A-3M-2SEA	2101605	GWP2101605
X0584ac6b0fe5	Durum wheat	GRS011-0272	21140546	GRS011-0272 1T-1A-0A-1M-2M	2101326	GWP2101326
X05929a350b4b	Durum wheat	GRS011-0174	21140187	GRS011-0174 1T-1A-0A-1M-2M	2100780	GWP2100780
X05985f7210a2	Bread wheat	TCI19-7002	2111008	TCI19-7002-M1-M11	2100069	GWP2100069
X059985abe976	Bread wheat	GRSW170083	21120133	GRSW170083-M0-M0-M2-M6	2100511	GWP2100511
X05b83418cac0	Bread wheat	GRS18-7001	21120028	GRS18-7001-10SB-M1-M1	2100222	GWP2100222
X05d84a1620e1	Durum wheat	GRS011-0262	21140373	GRS011-0262 1T-1A-0A-1M-1M	2101089	GWP2101089
X05e64c40c6d9	Durum wheat	GRS011-0263	21140542	GRS011-0263 1T-2A-0A-2M-1M	2101312	GWP2101312
X06166cb0840b	Bread wheat	-	2113004	1504066-M0-1603047-M0-18070022-M0-20130002-M1-M1	2100536	GWP2100536
X06290c9f872d	Bread wheat	GRS011-0276	21140409	GRS011-0276 1T-1A-0A-2M-1M	2101153	GWP2101153
X062a02423ee8	Bread wheat	GRS011-0276	21140401	GRS011-0276 1T-3A-0A-2M-4M	2101142	GWP2101142
X066670b81616	Durum wheat	GRS011-085	21140492	GRS011-085-1M-1M	2101236	GWP2101236
X068af6492575	Bread wheat	GRS011-0277	21140416	GRS011-0277 1T-1A-0A-2M-4M	2101174	GWP2101174
