sample_id,Yield
ICARDA_G1207,6.386
ICARDA_G1208,4.788
ICARDA_G1209,5.402
ICARDA_G1210,5.157
ICARDA_G1276,7.126
ICARDA_G1277,6.017
ICARDA_G1213,5.036
ICARDA_G1216,5.774
ICARDA_G1217,6.386
ICARDA_G1218,6.017
ICARDA_G1219,7.371
ICARDA_G1225,7.123
ICARDA_G1232,7.246
ICARDA_G1233,7.983
ICARDA_G1234,8.229
ICARDA_G1235,6.88
ICARDA_G1242,7.371
ICARDA_G1244,7.74
ICARDA_G1247,7.494
ICARDA_G1248,5.159
ICARDA_G1250,6.263
ICARDA_G1259,6.88
ICARDA_G1261,5.157
ICARDA_G1264,5.402
ICARDA_G1265,7.123
ICARDA_G1268,7.246
ICARDA_G1273,7.369
ICARDA_G1282,5.771
ICARDA_G1284,7.861
ICARDA_G1293,3.927
ICARDA_G1286,5.279
ICARDA_G1289,8.106
ICARDA_G1297,6.754
ICARDA_G1300,6.265
ICARDA_G1302,7.346
ICARDA_G1306,7.863
ICARDA_G1308,5.282
ICARDA_G1309,4.05
ICARDA_G1313,7.003
ICARDA_G1320,6.388
ICARDA_G1322,7.003
ICARDA_G1326,5.402
ICARDA_G1327,5.036
ICARDA_G1332,5.897
ICARDA_G1341,5.897
ICARDA_G1295,7.246
ICARDA_G1346,6.388
ICARDA_G1351,7.494
ICARDA_G1466,7.738
ICARDA_G1362,5.525
ICARDA_G1469,7.738
ICARDA_G1363,7.494
ICARDA_G1366,5.157
ICARDA_G1367,6.019
ICARDA_G1368,6.511
ICARDA_G1369,5.774
ICARDA_G1371,4.911
ICARDA_G1372,6.757
ICARDA_G1376,4.299
ICARDA_G1378,7.371
ICARDA_G1380,6.142
ICARDA_G1383,6.388
ICARDA_G1384,6.265
ICARDA_G1385,5.651
ICARDA_G1390,2.453
ICARDA_G1391,5.402
ICARDA_G1392,4.542
ICARDA_G1393,6.88
ICARDA_G0001,5.107
ICARDA_G1398,5.648
ICARDA_G0005,5.23
ICARDA_G0006,8.302
ICARDA_G0007,4.738
ICARDA_G1404,7.126
ICARDA_G1406,8.352
ICARDA_G1410,5.897
ICARDA_G0012,6.213
ICARDA_G0013,3.755
ICARDA_G1414,7.123
ICARDA_G1415,4.542
ICARDA_G1416,4.173
ICARDA_G1417,2.575
ICARDA_G1418,4.173
ICARDA_G1419,5.402
ICARDA_G0015,2.526
ICARDA_G1421,3.436
ICARDA_G1422,5.402
ICARDA_G0016,6.704
ICARDA_G0017,7.442
ICARDA_G0019,6.582
ICARDA_G0020,6.09
ICARDA_G0021,7.688
ICARDA_G1428,7.126
ICARDA_G1432,6.386
ICARDA_G1434,7.246
ICARDA_G1439,7.123
ICARDA_G1440,7.983
ICARDA_G1442,6.634
ICARDA_G1446,7.123
ICARDA_G1447,4.542
ICARDA_G1449,5.036
ICARDA_G1455,5.279
ICARDA_G1456,4.911
ICARDA_G0034,4.001
ICARDA_G1457,3.927
ICARDA_G1461,7.123
ICARDA_G1462,7
ICARDA_G1463,6.509
ICARDA_G0035,5.967
ICARDA_G0036,6.213
ICARDA_G0038,7.811
ICARDA_G0039,6.827
ICARDA_G0041,5.844
ICARDA_G0043,7.688
ICARDA_G0047,6.95
ICARDA_G0050,7.688
ICARDA_G0058,5.967
ICARDA_G0078,6.582
ICARDA_G0079,8.056
ICARDA_G0082,7.565
ICARDA_G0083,7.934
ICARDA_G0085,5.967
ICARDA_G0099,7.811
ICARDA_G0102,6.09
ICARDA_G0104,7.688
ICARDA_G0106,3.632
ICARDA_G0113,7.073
ICARDA_G0117,5.107
ICARDA_G0118,6.827
ICARDA_G0119,8.548
ICARDA_G0120,7.073
ICARDA_G0122,8.056
ICARDA_G0127,6.95
ICARDA_G0130,7.688
ICARDA_G0131,2.034
ICARDA_G0135,4.001
ICARDA_G0139,5.967
ICARDA_G0141,8.917
ICARDA_G0143,7.442
ICARDA_G0147,2.526
ICARDA_G0148,7.811
ICARDA_G0149,4.001
ICARDA_G0153,8.917
ICARDA_G0155,7.442
ICARDA_G0159,2.034
ICARDA_G0164,2.157
ICARDA_G0165,6.95
ICARDA_G0173,8.794
ICARDA_G0927,6.95
ICARDA_G0181,7.934
ICARDA_G0182,7.934
ICARDA_G0184,7.319
ICARDA_G0185,7.003
ICARDA_G0196,7.934
ICARDA_G0199,5.721
ICARDA_G0203,5.844
