Taxa,Area,B_glucan,Circularity,Diameter,DTH,Fe,FLA,FLH,GpS,GWS,GY,HW,Length,Length_Wid,PdH,PdL,Perimeter,PH,Protein,SL,TKW,width,Zn
G1,22.72177,6.848584,1.887915,5.366522,75.89584,29.67685,16.58676,82.77116,44.70886,1.6156277,1.3747605,57.65487,10.542981,3.313525,91.09761,8.132094,29.0701,96.7614,14.06372,5.343668,28.48964,3.251696,31.21179
G2,23.07877,7.430943,1.78007,5.403555,70.17532,31.59088,7.966124,62.36145,25.25222,1.0563208,1.3735596,64.41055,10.106793,3.013035,63.656,1.034193,28.33654,70.5672,14.1609,6.804813,35.00164,3.439623,34.21217
G3,19.93612,4.012621,1.555492,5.034355,74.19461,34.15825,7.59235,61.81653,25.72167,0.9516462,0.9054266,69.41048,8.56579,2.524445,68.75482,6.555505,24.57919,77.16486,15.23294,8.074976,31.95561,3.455571,25.50724
G4,23.32083,6.091926,2.300471,5.420909,74.39462,31.44544,18.753322,69.77661,66.23116,2.520201,0.7614383,55.3559,11.920853,3.833381,69.50663,0.9639243,32.21194,79.22446,14.34877,10.039594,27.27054,3.204069,32.24918
G5,19.54859,7.307811,1.896487,4.981714,77.66037,30.31127,16.532845,64.38496,54.63221,1.2044795,0.8827177,53.6594,9.781558,3.305421,64.10002,-0.641649,27.02846,71.78375,14.46224,7.526454,24.64983,3.000305,33.58773
G7,22.96829,7.267738,1.752493,5.422541,72.6542,30.61605,18.40302,78.08801,26.63211,1.0843463,2.0644185,64.98411,9.968898,2.978634,80.59519,2.598928,28.03643,88.70248,14.31356,8.314572,33.83401,3.429043,33.9271
G8,24.15301,6.516815,1.903725,5.511479,73.06371,34.49188,13.165159,66.77562,51.35892,2.4582796,1.5887862,59.9005,10.91799,3.206031,74.30561,7.857492,30.17215,80.94017,15.21018,6.352677,29.0439,3.420575,34.68302
G9,22.52751,6.608225,1.901783,5.336156,74.04873,33.49028,12.682691,69.98692,38.2323,1.3928296,1.2118309,56.50861,10.502563,3.241124,75.24064,5.578621,28.92822,83.62289,14.93425,8.365056,31.82218,3.333389,29.96857
G12,21.53395,7.121876,1.618225,5.22774,77.23398,32.34481,11.629285,61.29312,31.28971,1.2032534,1.2961393,62.75776,9.245332,2.697188,64.11338,3.062002,26.28273,72.07131,14.56293,8.262385,28.09158,3.500696,35.09732
G13,19.26368,7.070931,1.878297,4.975031,76.56273,31.7031,17.281531,62.8386,43.46615,1.3072053,1.0507278,58.2078,9.664583,3.195656,64.11994,1.609596,26.82752,70.98379,14.29749,6.859936,29.91953,3.077496,32.45874
